Diner	ArrivedSeating	Table IDCook Num	Food	Leaving	BTime	FTime	CTime	STime
0	1	1	0	0		14	44	1	11	-1	-1
1	2	2	1	3		41	71	21	-1	2	4
2	3	3	2	2		61	91	51	3	-1	6
3	4	4	3	1		21	51	11	6	-1	5
4	5	5	4	1		51	81	41	-1	21	-1
5	6	6	5	0		71	101	61	14	-1	17
6	7	44	0	3		86	116	81	44	47	-1
7	41	51	3	1		81	111	71	51	-1	-1
8	42	71	1	2		106	136	86	-1	71	73
9	43	81	4	0		151	181	141	81	-1	-1
10	44	91	2	1		126	156	116	91	-1	94
11	45	101	5	3		116	146	106	-1	101	-1
12	46	111	3	2		136	166	126	111	-1	-1
13	47	116	0	3		141	171	136	116	119	121
14	81	136	1	1		211	241	201	136	-1	139
15	82	146	5	2		171	201	151	-1	146	-1
16	83	156	2	3		181	211	171	156	-1	-1
17	84	166	3	0		201	231	191	166	-1	169
18	85	171	0	2		191	221	181	-1	171	173
19	86	181	4	3		221	251	211	181	-1	-1
